Wavelength (nm),Extinction coefficient
255.602,0.006160376912549691
255.673,0.006132541222625366
255.743,0.0061106444654880875
255.813,0.006081655458454867
255.884,0.006049287189495797
255.954,0.00601275053547089
256.024,0.005976979605700751
256.095,0.005944849865018337
256.165,0.005907194783429168
256.235,0.005870115271615225
256.306,0.005832722227524811
256.376,0.005793494631422586
256.446,0.00575122563191254
256.517,0.005698440944331317
256.587,0.005648754774193872
256.657,0.005595706764376812
256.728,0.0055439941055468725
256.798,0.005494464906119806
256.868,0.005438306322202803
256.938,0.0053848686482662325
257.009,0.005335185728020091
257.079,0.00528376089648104
257.149,0.005226837404629179
257.219,0.0051725970557893
257.29,0.005121204344105347
257.36,0.005070896671028844
257.43,0.00502902237227339
257.5,0.004992281441843267
257.571,0.004944186067528822
257.641,0.004903572686457818
257.711,0.004856215088767468
257.781,0.004813705364246388
257.852,0.004774063832926916
257.922,0.0047334966056093025
257.992,0.004700842655453131
258.062,0.004670384209492892
258.132,0.004645306104829708
258.202,0.004620968763920301
258.273,0.004593681207090907
258.343,0.004568081209558886
258.413,0.004541871475491402
258.483,0.00451612641060661
258.553,0.004491591541292645
258.623,0.004475084741280071
258.693,0.004454835312587863
258.764,0.004437125948644374
258.834,0.004419857016749752
258.904,0.004399737825589431
258.974,0.004374015123157878
259.044,0.0043595904497787065
259.114,0.004338063744549947
259.184,0.004323084392997142
259.254,0.004311659956878171
259.324,0.004295765093935844
259.394,0.004280774268336998
259.464,0.0042625246709303306
259.535,0.004236431214199342
259.605,0.004206014550742279
259.675,0.004170019816080622
259.745,0.004135179303127263
259.815,0.004099555531809467
259.885,0.0040638308383090516
259.955,0.004022483539578665
260.025,0.0039802562780121105
260.095,0.00393656682535602
260.165,0.0038954959315244276
260.235,0.0038533255547022445
260.305,0.003811707650303334
260.375,0.0037682672216090766
260.445,0.003728357647843554
260.515,0.0036861032855265716
260.585,0.003651542122119122
260.655,0.0036202846387247134
260.725,0.0035861218749372436
260.795,0.0035551343656312034
260.865,0.0035283274653930457
260.934,0.0035056104985393788
261.004,0.0034893124225640858
261.074,0.003471869392388272
261.144,0.003455216765868451
261.214,0.003435136420738206
261.284,0.003414875968393836
261.354,0.0033924229957774336
261.424,0.0033695877858690103
261.494,0.003347961990382488
261.564,0.003327195547366728
261.634,0.003302810092969163
261.703,0.0032773911849098654
261.773,0.003255375918034201
261.843,0.0032395608554560687
261.913,0.003225171555222545
261.983,0.003211124636356669
262.053,0.0031992838056035503
262.123,0.003185833727499195
262.192,0.003168581301920194
262.262,0.003149320379570553
262.332,0.0031283184742154375
262.402,0.003099415902512649
262.472,0.0030649753292321035
262.541,0.003027885337545326
262.611,0.0029948136821964684
262.681,0.002965011605987823
262.751,0.002935412366208428
262.821,0.002908264425704868
262.89,0.002887417999269102
262.96,0.002873723056446247
263.03,0.0028570117088269373
263.1,0.0028436363611833754
263.169,0.0028345745545008062
263.239,0.002823583149406808
263.309,0.0028072275685838955
263.379,0.0027931427371161136
263.448,0.0027766358790877388
263.518,0.002750136951206139
263.588,0.0027178248730882625
263.657,0.002687132468906313
263.727,0.0026556865694075797
263.797,0.002619769357664356
263.867,0.002587709289439244
263.936,0.0025589179892129125
264.006,0.0025347355215212335
264.076,0.002513330122482693
264.145,0.002490702244236579
264.215,0.0024734620566484304
264.285,0.0024552648647188156
264.354,0.002439201722741532
264.424,0.002415577470951904
264.494,0.00239149691705971
264.563,0.002364572390722535
264.633,0.002335085232115443
264.702,0.002299455672583661
264.772,0.0022682898207964856
264.842,0.002231832774168178
264.911,0.0021930220531560423
264.981,0.0021566435244189186
265.05,0.002122584921391679
265.12,0.002088317377475334
265.19,0.0020557615286814876
265.259,0.0020247115948925686
265.329,0.001992617195324384
265.398,0.0019635458841461427
265.468,0.0019358797374029253
265.537,0.0019038277173448433
265.607,0.0018798483392561227
265.676,0.0018526697650168608
265.746,0.0018294215464751014
265.815,0.0018023596938277371
265.885,0.0017772969327325768
265.955,0.0017553393235737523
266.024,0.0017374456626092633
266.094,0.0017235282999254864
266.163,0.0017187568715541395
266.232,0.0017133802699841306
266.302,0.0017103770015190185
266.371,0.0017112003666075633
266.441,0.0017127215536009075
266.51,0.0017161692695553525
266.58,0.0017201305309756264
266.649,0.001720104383862243
266.719,0.0017197521295450474
266.788,0.0017189701554869965
266.858,0.0017131895068231832
266.927,0.0017041315090150831
266.996,0.0016987427789636
267.066,0.0016865500108476433
267.135,0.0016700146837154623
267.205,0.0016479414177365686
267.274,0.0016291914674971854
